SKU,Quantity On Hand,Next Availability Date,Discontinued,Location Available,Location
K6384NP-F2244,10.0,,N,50.0,KFHQ
K6805-F2302,10.0,,N,48.0,KFHQ
N6354-F1331,20.0,,N,97.0,KFHQ
N6354-F1423,72.0,,N,243.0,KFHQ
N6354-F354,0.0,04/29/2022,N,1.0,KFHQ
N6354-F827,0.0,04/29/2022,N,8.0,KFHQ
N6354-F923,0.0,04/29/2022,N,9.0,KFHQ
N6354-YDQY-2,0.0,,N,,KFHQ
K6410-F1423,0.0,,N,,KFHQ
K7052-1501-5,20.0,,N,99.0,KFHQ
K7703-A832,36.0,,N,120.0,KFHQ
K7703-A837,0.0,04/29/2022,N,6.0,KFHQ
K7703-F1147,10.0,,N,56.0,KFHQ
K7703-F2273,0.0,,N,,KFHQ
K7710-B271,20.0,,N,79.0,KFHQ
K7710-B272,0.0,04/29/2022,N,23.0,KFHQ
K7710-F2360,32.0,,N,107.0,KFHQ
K7710-F2371,30.0,,N,102.0,KFHQ
K6805-F2321,10.0,,N,55.0,KFHQ
K6805-F2343,0.0,04/29/2022,N,2.0,KFHQ
K6805-F2348,10.0,,N,50.0,KFHQ
K6805-F2349,0.0,,N,,KFHQ
K6805-F2350,0.0,,N,,KFHQ
K6805-F2354,0.0,,N,,KFHQ
K6805-F2359,0.0,,N,,KFHQ
K6805-F2372,0.0,04/29/2022,N,35.0,KFHQ
K6862-E847,20.0,,N,82.0,KFHQ
K6862-E848,72.0,,N,241.0,KFHQ
K6862-YDQY-2,41.0,,N,137.0,KFHQ
K7342-A824,49.0,,N,164.0,KFHQ
K7342-E903,20.0,,N,71.0,KFHQ
K7342-F2067,0.0,,N,,KFHQ
K7342-F2182,20.0,,N,71.0,KFHQ
K7342-F2214,45.0,,N,152.0,KFHQ
K6995-F971,0.0,,N,,KFHQ
K7460-F2101,20.0,,N,78.0,KFHQ
K7565-F2159,85.0,,N,285.0,KFHQ
K7575-A793,20.0,,N,90.0,KFHQ
K7575-F2060,0.0,04/29/2022,N,38.0,KFHQ
K7575-F2230,46.0,,N,155.0,KFHQ
K7575-F2231,35.0,,N,119.0,KFHQ
K7693-F2262,107.0,,N,357.0,KFHQ
K7342-F2236,0.0,,N,,KFHQ
K7342-F2262,0.0,,N,,KFHQ
K7342-F2267,0.0,,N,,KFHQ
K7342-F2359,10.0,,N,58.0,KFHQ
K7342-YDQY-2,10.0,,N,47.0,KFHQ
K7380-F1447,106.0,,N,355.0,KFHQ
K7404-B304,0.0,04/29/2022,N,38.0,KFHQ
K7404-B305,10.0,,N,51.0,KFHQ
K7693-F2269,38.0,,N,127.0,KFHQ
K7693-F2270,20.0,,N,87.0,KFHQ
K7693-F2323,10.0,,N,56.0,KFHQ
K7700-F2280,38.0,,N,129.0,KFHQ
K7702-F2338,0.0,,N,,KFHQ
N6354-A708,53.0,,N,178.0,KFHQ
N6354-E073,0.0,,N,,KFHQ
N6354-E074,0.0,,N,,KFHQ
K7490-A810,10.0,,N,50.0,KFHQ
K7490-A811,30.0,,N,102.0,KFHQ
K7490-F2012,0.0,04/29/2022,N,16.0,KFHQ
K7506-F2185,0.0,04/29/2022,N,3.0,KFHQ
K7646-A750,50.0,,N,167.0,KFHQ
K7646-A823,0.0,,N,,KFHQ
K7646-A869,10.0,,N,47.0,KFHQ
K7685-E886,10.0,,N,50.0,KFHQ
K7052-1501-7,39.0,,N,132.0,KFHQ
K7052-F2208,10.0,,N,52.0,KFHQ
K7116-E903,0.0,,N,,KFHQ
K7116-F2378,31.0,,N,104.0,KFHQ
K7116-F2380,20.0,,N,65.0,KFHQ
K7116-YDQY-2,62.0,,N,207.0,KFHQ
K7467-B227,43.0,,N,144.0,KFHQ
K7467-B233,46.0,,N,156.0,KFHQ
K7716-F2296,0.0,,N,,KFHQ
K7716-F2297,10.0,,N,41.0,KFHQ
K7716-F2298,0.0,04/29/2022,N,2.0,KFHQ
K7833-F2369,0.0,04/29/2022,N,37.0,KFHQ
K8564-F2110,0.0,,N,,KFHQ
N5762-E155,119.0,,N,399.0,KFHQ
N5762-E607,87.0,,N,291.0,KFHQ
N5762-F2110,0.0,,N,,KFHQ
K7467-B255,20.0,,N,62.0,KFHQ
K7643-F2262,20.0,,N,83.0,KFHQ
K7802-YDQY-2,0.0,,N,,KFHQ
K8597-B306,0.0,04/29/2022,N,37.0,KFHQ
N7718-F1158,49.0,,N,165.0,KFHQ
K6958-B118,58.0,,N,195.0,KFHQ
K6958-B123,10.0,,N,59.0,KFHQ
K6958-B200,30.0,,N,102.0,KFHQ
N5762-YDQY-2,63.0,,N,210.0,KFHQ
N7697S-F1539,0.0,,N,,KFHQ
N7697S-F1563,0.0,04/29/2022,N,3.0,KFHQ
N7697S-F2182,20.0,,N,74.0,KFHQ
N8264-A848,0.0,04/29/2022,N,12.0,KFHQ
N8264-B119,0.0,04/29/2022,N,8.0,KFHQ
N8264-E697,0.0,,N,,KFHQ
N8264-E903,0.0,,N,,KFHQ
K6958-B203,49.0,,N,165.0,KFHQ
K6958-B254,20.0,,N,90.0,KFHQ
K6958-B255,10.0,,N,56.0,KFHQ
K6958-B258,20.0,,N,62.0,KFHQ
K6958-B274,0.0,04/29/2022,N,23.0,KFHQ
K6958-F1374,0.0,04/29/2022,N,28.0,KFHQ
K7224-B227,49.0,,N,166.0,KFHQ
K7224-B250,0.0,04/29/2022,N,28.0,KFHQ
N8264-F1044,45.0,,N,152.0,KFHQ
N8264-F1077,56.0,,N,187.0,KFHQ
N8264-F2110,0.0,04/29/2022,N,29.0,KFHQ
N8264-F2111,54.0,,N,183.0,KFHQ
N8264-F2206,0.0,,N,,KFHQ
N8264-F2207,55.0,,N,185.0,KFHQ
N8264-YDQY-2,10.0,,N,44.0,KFHQ
K2380-E155,94.0,,N,314.0,KFHQ
K7225-B227,66.0,,N,221.0,KFHQ
K7225-B233,33.0,,N,113.0,KFHQ
K7225-B250,20.0,,N,94.0,KFHQ
K7399-B118,0.0,04/29/2022,N,6.0,KFHQ
K7399-B254,20.0,,N,67.0,KFHQ
K7401-A825,36.0,,N,123.0,KFHQ
K7401-E903,0.0,04/29/2022,N,6.0,KFHQ
K7401-F2060,20.0,,N,89.0,KFHQ
K2380-E169,20.0,,N,77.0,KFHQ
K2380-E903,0.0,,N,,KFHQ
K2380-F1399,10.0,,N,46.0,KFHQ
K2380-YDQY-2,20.0,,N,65.0,KFHQ
K5668NP-A848,0.0,,N,,KFHQ
K5668NP-F1289,34.0,,N,116.0,KFHQ
K5668NP-F1399,77.0,,N,258.0,KFHQ
K5668NP-F1438,35.0,,N,117.0,KFHQ
K7401-F2237,20.0,,N,89.0,KFHQ
K7401-F2267,10.0,,N,49.0,KFHQ
K7401-F2348,33.0,,N,113.0,KFHQ
K7401-F2353,10.0,,N,45.0,KFHQ
K7401-F2379,31.0,,N,106.0,KFHQ
