SKU,Quantity On Hand,Next Availability Date,Discontinued,Location Available,Location
K6805-F2052,60.0,,N,203.0,KFHQ
K6805-F2053,30.0,,N,102.0,KFHQ
K6805-F2054,20.0,,N,71.0,KFHQ
K6805-F2055,107.0,,N,359.0,KFHQ
K6805-F2059,0.0,,N,,KFHQ
K6805-F2061,135.0,,N,450.0,KFHQ
K6805-F2062,0.0,04/29/2022,N,16.0,KFHQ
K5506-F2182,0.0,04/29/2022,N,31.0,KFHQ
K5506-F2183,0.0,04/29/2022,N,12.0,KFHQ
K6378-F1374,63.0,,N,211.0,KFHQ
K6380-F1326,0.0,,N,,KFHQ
K6380-F2099,0.0,04/29/2022,N,12.0,KFHQ
K6380-F2164,0.0,,N,,KFHQ
K6757-F2352,20.0,,N,67.0,KFHQ
K6757-F2353,10.0,,N,49.0,KFHQ
