HDR,20210328,20210329,OSHQ,13824 Yorba Ave,Unnamed: 5,Chino,CA,91710,USA,Unnamed: 10
DET,157,K7703-F1147,,51706505,STORAGE OTTOMAN,AV,20,EA,79.25,20220501.0
DET,158,K7710-B272,,51708543,STORAGE OTTOMAN,OS,0,EA,57.23,20220327.0
DET,159,K7710-F2360,,56245822,ROUND STORAGE OTTOMAN,AV,34,EA,109.0,
DET,160,K7710-F2371,,56245830,ROUND STORAGE OTTOMAN,AV,31,EA,109.0,
DET,161,K7716-F2296,,51708733,STORAGE OTTOMAN,OS,0,EA,57.23,20220327.0
DET,162,K7716-F2297,,51709228,STORAGE OTTOMAN,OS,0,EA,57.23,20220201.0
DET,163,K7743-B268,,51708642,STORAGE BENCH,OS,0,EA,128.18,20211201.0
DET,164,K7743-B269,,51709095,STORAGE BENCH,OS,0,EA,128.18,20220416.0
DET,165,K7743-B270,,51708774,STORAGE BENCH,AV,47,EA,128.18,
DET,166,K7743-F2327,,56246085,STORAGE BENCH,OS,0,EA,151.67,20220501.0
DET,167,K7743-YDQY-2,,56246093,STORAGE BENCH,OS,0,EA,151.67,20220327.0
DET,168,K7746-A870,,56245665,ARMLESS ACCENT CHAIR,OS,0,EA,117.44,20211201.0
DET,169,K7761-F2377,,56246150,KID'S STORAGE CHAIR,OS,0,EA,100.52,20211201.0
DET,170,K7820-Y199,,54834684,ACCENT TABLE W/SHELF STORAGE,OS,0,EA,81.75,20211201.0
DET,171,K7833-F2369,,56245871,SHOE STORAGE OTTOMAN,OS,0,EA,114.0,20220416.0
DET,172,K7848-A865,,56245640,ACCENT CHAIR,OS,0,EA,127.65,20220327.0
DET,173,K7849-A864,,56245657,ACCENT CHAIR,OS,0,EA,127.65,20211201.0
DET,174,K7898-F2365,,56245798,OTTOMAN,OS,0,EA,99.9,20220327.0
DET,175,K7905-F2371,,56245806,SMALL OTTOMAN,OS,0,EA,62.68,20220408.0
DET,176,K7905-YDQY-2,,56245814,SMALL OTTOMAN,AV,10,EA,62.68,20220301.0
DET,177,K7915-E899,,56245749,BENCH,AV,10,EA,47.69,
DET,178,K7982-F2348,,60274339,"28"" Storage Ottoman in Gray",AV,20,EA,88.0,20220201.0
DET,179,K7986-F2377,,56245772,SMALL OTTOMAN,AV,20,EA,54.5,
DET,180,K8000-A750,,58449620,ACCENT CHAIR,OS,0,EA,117.44,20220201.0
DET,181,K8000-F2114,,58449638,ARMLESS ACCENT CHAIR,AV,10,EA,105.45,
DET,182,K8000-F2231,,58449646,ARMLESS ACCENT CHAIR,AV,20,EA,117.44,
DET,183,K8000-F2262,,58449653,ARMLESS ACCENT CHAIR,AV,10,EA,117.44,20220201.0
DET,184,K8000-F2398,,58449661,ARMLESS ACCENT CHAIR,AV,20,EA,105.45,20220327.0
DET,185,K8000-F2399,,58449679,ARMLESS ACCENT CHAIR,OS,0,EA,105.45,20220327.0
DET,186,K8086-A865,,56246101,STORAGE BENCH,AV,20,EA,103.4,
DET,187,K8086-F2294,,51708659,STORAGE BENCH,OS,0,EA,87.41,20220327.0
DET,188,K8176-YDQY-2,,56245780,SMALL OTTOMAN,AV,79,EA,54.5,
DET,189,K8536-B302,,58449786,ACCENT CHAIR,AV,20,EA,108.78,
DET,190,K8536-B303,,58449794,ACCENT CHAIR,AV,83,EA,108.78,20220301.0
DET,191,K8537-B304,,58449802,STORAGE OTTOMAN,AV,10,EA,128.62,
DET,192,K8537-B305,,58449810,STORAGE OTTOMAN,OS,0,EA,128.62,20220408.0
DET,193,K8561-F2110,,60274347,"32"" Storage Ottoman in Navy",OS,0,EA,114.0,20220301.0
DET,194,K8562-F1399,,60274354,"46"" Storage Bench in Tan",AV,10,EA,139.0,
DET,195,K8562-F2182,,60274362,"46"" Storage Bench in Gray",OS,0,EA,139.0,20220327.0
DET,196,K8562-F2262,,60274370,"46"" Storage Bench in Black",OS,0,EA,139.0,20220327.0
DET,197,K8563-F2111,,60274388,"46"" Storage Bench in Gray",OS,0,EA,133.0,20220327.0
DET,198,K8564-F2110,,60274438,Large Storage Ottoman in Navy,OS,0,EA,79.5,20220201.0
DET,199,K8596-B306,,61437208,HomePop Ottoman in Cream/Black,OS,0,EA,65.0,20220408.0
DET,200,K8597-B306,,61437216,HomePop Bench in Cream/Black,OS,0,EA,90.0,20220327.0
DET,201,K8598-B306,,61437224,HomePop Storage Bench in Cream/Natural,OS,0,EA,105.0,20220402.0
DET,202,N5762-E607,,41869173,TUFTED SQ OTTOMAN DRK RED,AV,42,EA,44.64,
DET,203,N5762-F2110,,60274446,Storage Ottoman in Navy,OS,0,EA,49.0,20220201.0
